SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:40:06:12:40:58,12:41:07.329,500,1,True,False,False,False,False,0,-400.00,11.86,5.77,28.40,8.90,30.00,9.20,7.242,7.538,7.538,True,True,7.538,0.305
1,1,1,25:40:06:12:40:58,12:41:08.432,500,1,True,False,False,False,False,0,-400.00,26.28,5.84,23.30,6.30,23.90,6.30,1.071,1.115,1.115,True,True,1.056,0.048
1,1,1,25:40:06:12:40:58,12:41:09.217,500,1,True,False,False,False,False,0,-400.00,29.48,5.86,7.10,1.20,8.30,1.80,0.663,0.782,0.782,True,True,0.693,0.126
1,1,1,25:40:06:12:40:58,12:41:12.623,500,1,True,False,False,False,False,0,-400.00,3.55,5.55,48.00,14.90,48.40,14.90,2.572,3.403,3.403,True,True,2.485,0.551
1,1,1,25:40:06:12:40:58,12:41:14.131,500,1,True,False,False,False,False,0,-400.00,9.53,5.85,62.40,14.80,65.60,15.30,1.144,1.506,1.506,True,True,1.256,0.246
1,1,1,25:40:06:12:40:58,12:41:17.134,500,1,True,False,False,False,False,0,-400.00,18.46,5.87,47.30,9.10,50.20,10.20,2.576,3.004,3.004,True,True,1.792,0.225
1,1,1,25:40:06:12:40:58,12:41:29.791,500,1,True,False,False,False,False,0,100.00,2.56,5.87,21.80,5.10,85.10,10.70,1.878,12.665,12.665,True,False,11.923,0.318
1,1,2,25:40:06:12:40:58,12:41:41.056,500,675,True,False,False,False,False,1,-400.00,21.45,5.82,0.90,3.70,1.00,3.70,1.386,1.513,1.513,True,True,1.507,0.138
1,1,2,25:40:06:12:40:58,12:41:48.440,500,675,True,False,False,False,False,1,-400.00,3.21,5.78,32.00,13.00,102.50,28.20,2.829,5.865,7.385,True,True,6.092,0.963
