SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:51:30:07:51:10,19:51:24.554,500,225,True,False,False,False,True,1.5,0,-400.00,1.77,5.84,47.90,2.50,285.80,130.20,1.650,11.158,11.158,True,True,11.158,0.820
1,1,1,25:51:30:07:51:10,19:51:29.033,500,225,True,False,False,False,True,1.5,0,-400.00,19.07,5.46,16.10,14.30,43.80,37.50,1.204,4.480,4.480,True,True,4.389,0.492
1,1,1,25:51:30:07:51:10,19:51:32.306,500,225,True,False,False,False,True,1.5,0,-400.00,9.96,5.15,34.10,1.00,93.20,11.80,0.509,3.274,3.274,True,True,3.106,0.058
1,1,1,25:51:30:07:51:10,19:51:35.242,500,225,True,False,False,False,True,1.5,0,-400.00,20.25,5.70,30.00,22.50,34.70,23.40,2.586,2.936,2.936,True,True,2.253,0.087
1,1,1,25:51:30:07:51:10,19:51:37.394,500,225,True,False,False,False,True,1.5,0,-400.00,12.89,5.10,32.30,11.50,38.00,12.60,1.618,2.151,2.151,True,True,1.413,0.213
1,1,1,25:51:30:07:51:10,19:51:39.193,500,225,True,False,False,False,True,1.5,0,-400.00,7.59,5.13,26.60,6.80,36.10,8.70,1.101,1.800,1.800,True,True,1.041,0.162
