SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:43:06:12:43:40,12:43:42.650,500,1,True,False,False,False,False,0,-400.00,5.42,5.85,7.40,0.40,8.70,0.70,0.585,0.756,0.756,True,True,0.756,0.184
1,1,1,25:43:06:12:43:40,12:43:46.388,500,1,True,False,False,False,False,0,-400.00,11.76,5.81,61.00,32.90,61.10,33.70,3.633,3.749,3.749,True,True,3.189,0.125
1,1,1,25:43:06:12:43:40,12:43:48.770,500,1,True,False,False,False,False,0,-400.00,9.33,5.70,14.20,15.20,18.10,15.60,1.821,2.383,2.383,True,True,1.530,0.234
1,1,1,25:43:06:12:43:40,12:43:52.764,500,1,True,False,False,False,False,0,-400.00,10.47,5.51,16.60,12.10,17.40,12.70,3.877,3.994,3.994,True,True,1.262,0.125
1,1,1,25:43:06:12:43:40,12:43:54.368,500,1,True,False,False,False,False,0,-400.00,26.15,5.69,39.90,11.00,40.60,11.10,1.520,1.605,1.605,True,True,1.015,0.093
1,1,1,25:43:06:12:43:40,12:44:11.878,500,1,True,False,False,False,False,0,100.00,1.93,5.83,6.40,4.20,6.40,4.20,17.518,17.518,17.518,False,False,12.924,0.000
