sessionID,latinRow,currentRoundNumber,roundFPS,spikeMagnitude,onAimSpikeEnabled,onEnemySpawnSpikeEnabled,onMouseSpikeEnabled,onReloadSpikeEnabled,attributeScalingEnabled,attributeScaleRadius,enemyMoveSpeed,predictableEnemyMovement,indexArray,time,roundTimer,mouseX,mouseY,playerX,playerY,playerZ,playerRot_w,playerRot_x,playerRot_y,playerRot_z,enemyPos_x,enemyPos_y,enemyPos_z,muzzlePos_x,muzzlePos_y,muzzlePos_z,isEnemyDead,distanceToPlayer,mouseMovedX,mouseMovedY,shotsFiredPerEvent,shotsHitPerEvent,shotsMissedPerEvent,durationOfEvent,durationOfEventIncludingSpikes,spikeCountPerEvent,angularDistanceFromEnemyOnStart,targetTimeOnEnemy
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:52:55 AM,1.039341,0,0,1.438737,0.4949999,-5.6991,0.9968002,0,0.07993347,0,2.610703,0.5146443,0.6249347,1.524566,0.5060999,-5.167382,False,6.431742,0,0,0,0,0,1.039313,1.039313,1,37.79908,0.1488013
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:52:56 AM,2.363926,0,-0.1,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,5.427804,0.6294484,0.1073809,1.524572,0.5060999,-5.167383,False,7.045989,0,0.1,1,0,1,1.324627,1.324627,1,35.59965,0.1113884
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:52:57 AM,3.51664,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,2.967066,2.479517,1.041823,1.524572,0.5060999,-5.167383,False,7.191254,0,0,1,0,1,1.152646,1.152646,1,26.15856,0.0979432
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:52:58 AM,4.528458,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993978,0,6.085525,1.083595,-0.9369407,2.139752,1.929615,-5.137943,True,6.679615,0,0,1,1,0,1.015993,1.015993,1,33.12423,0.2180347
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:00 AM,6.315647,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,6.460146,1.609253,-1.000905,1.524572,0.5060999,-5.167383,False,6.966287,0,0,0,0,0,1.783012,1.783012,1,22.99704,0.1435121
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:01 AM,7.399342,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,2.691264,2.416167,1.215542,1.713477,2.082713,-4.889978,True,7.285051,0,0,2,1,1,1.089645,1.089645,1,34.30261,0.09068298
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:03 AM,9.300564,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,2.32144,0.5909341,1.26343,1.524572,0.5060999,-5.167383,False,7.018917,0,0,0,0,0,1.895175,1.895175,1,19.36972,0.0431588
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:04 AM,10.38332,0,0,1.438736,0.4949999,-5.6991,0.9967998,0,0.07993991,0,4.508301,2.888177,0.8205266,1.907559,2.131961,-5.012369,True,7.593092,0,0,2,1,1,1.088585,1.088585,1,32.79589,0.1474763
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:05 AM,11.59287,0,0,1.438736,0.4949999,-5.6991,0.9967996,0,0.07994012,0,7.199278,1.272378,-1.892631,1.524572,0.5060999,-5.167383,False,6.948192,0,0,0,0,0,1.203714,1.203714,1,29.64236,0
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:06 AM,12.52007,0,0,1.438736,0.4949999,-5.6991,0.9967996,0,0.07994016,0,8.238215,2.565022,-4.097535,2.267694,2.097955,-5.624778,True,7.285802,0,0,2,1,1,0.9309968,0.9309968,1,29.7307,0.1111207
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:08 AM,14.03636,0,0.1,1.438736,0.4949999,-5.6991,0.9967997,0,0.07994026,0,4.953121,1.314256,0.4730825,1.524572,0.5060999,-5.167383,False,7.14968,0,0.1,0,0,0,1.512486,1.512486,1,14.18328,0
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:09 AM,15.14717,0,0.1,1.438736,0.4949999,-5.6991,0.9967997,0,0.07994026,0,4.967153,2.048813,-0.02512646,1.524572,0.5060999,-5.167383,False,6.859886,0,0.1,0,0,0,1.110792,1.110792,1,10.06668,0.1799848
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:10 AM,16.20853,0,0,1.438736,0.4949999,-5.6991,0.9967996,0,0.07994032,0,7.350697,2.721387,-2.285649,2.208192,2.12395,-5.396222,True,7.180511,0,0,1,1,0,1.064701,1.064701,1,37.6634,0.1208533
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:12 AM,18.00661,0,0,1.417591,0.4949999,-5.692174,0.970564,0,0.2408433,0,8.496709,1.442632,-6.199172,1.669392,0.5060999,-5.216058,False,7.160234,0,0,2,0,2,1.794702,1.794702,1,26.24278,0.0160949
1,1,1,500,1,True,False,False,False,False,1,0.75,False,0,11/6/2025 5:53:13 AM,18.98057,0,0,1.380269,0.4949999,-5.624957,0.6809096,0,0.7323675,0,7.597876,2.399699,-9.095671,1.917443,0.5060999,-5.664127,False,7.371049,0,0,0,0,0,0.9739656,0.9739656,1,19.87814,0
