7,1,1,25:12:26:02:12:40,6/26/2025 2:13:14 PM,500,675,True,False,False,False,False,0,351,78,39,39,2,0,0.5,5,5,13.47224,953.5981,137.4996,1091.098,30.2214014218189,11204,0.00269737606406809,370.730656848728,11,0,0,7425,675,0,249.4999,210.5999,105.4225,21.7071,8.353407,10.53242,12.79127,49.89998,42.11999,4.341421,18.21126,3.823236,1,False
7,1,2,25:12:26:02:12:40,6/26/2025 2:13:46 PM,500,675,True,False,False,False,False,1,663,88,41,41,0,0,0.4659091,7,4,13.98609,1473.794,205.3004,1679.095,29.9983775997534,11127,0.00269599870582847,370.920059359859,11,0,0,7425,675,0,613.7003,608.1002,517.7111,32.28584,13.86895,14.74771,17.95721,87.67146,86.87146,4.612262,17.48688,4.909469,1.1,False
7,1,3,25:12:26:02:12:40,6/26/2025 2:14:22 PM,500,1,True,False,False,False,False,2,784,100,44,44,3,0,0.44,8,4,10.54989,1998.492,223.5008,2221.992,29.9990780178923,14791,0.00202819809464487,493.048486062746,11,0,0,11,1,0,1300.201,1282.9,684.0792,38.19756,12.47556,14.0955,18.79922,162.5251,160.3625,4.774694,14.33674,5.097202,5,False
7,1,4,25:12:26:02:12:40,6/26/2025 2:14:54 PM,500,225,True,False,False,False,False,3,839,89,48,48,2,0,0.5393258,8,4,13.4749,1995.592,240.9008,2236.493,29.9980258182622,13690,0.00219123636364224,456.363364807353,10,0,0,2250,225,0,1357.3,1344.9,399.2201,38.84631,13.63105,14.90437,18.52527,169.6625,168.1125,4.855789,16.39511,4.521954,1.5,False
7,1,5,25:12:26:02:12:40,6/26/2025 2:15:27 PM,500,225,True,False,False,False,False,4,883,101,44,44,2,0,0.4356436,8,3,9.188187,1436.195,170.8001,1606.995,29.9980569891632,13595,0.00220655071637831,453.19601882586,11,0,0,2475,225,0,682.2998,652.7999,652.3234,37.5544,12.84942,15.63586,19.65013,85.28748,81.59998,4.6943,17.16137,5.291112,2.1,False
7,1,6,25:12:26:02:12:40,6/26/2025 2:15:59 PM,500,75,True,False,False,False,False,5,1028,100,48,48,2,0,0.48,9,3,9.10549,1568.894,213.6005,1782.495,29.9982923112111,14419,0.00208046967967342,480.660693962611,10,0,0,750,75,0,1094.5,1077.6,702.2432,41.08093,15.86315,17.80526,21.60425,121.6111,119.7333,4.564548,15.07519,5.036188,2.6,False
7,1,7,25:12:26:02:12:40,6/26/2025 2:16:32 PM,500,75,True,False,False,False,False,6,840,99,49,49,3,0,0.4949495,8,4,13.74451,1740.893,267.7009,2008.594,29.9981379177189,14387,0.002085086391723,479.59643493412,11,0,0,825,75,0,1181.4,1177.7,710.9128,37.74286,14.63555,15.13136,17.83862,147.675,147.2126,4.717857,12.50965,4.850029,1.4,False
7,1,8,25:12:26:02:12:40,6/26/2025 2:17:32 PM,500,450,True,False,False,False,False,7,655,96,41,41,2,0,0.4270833,7,4,13.70454,1417.395,230.5008,1647.896,29.999275118229,12120,0.00247518771602549,404.009761977059,12,0,0,5400,450,0,637.9999,633.6999,463.1295,32.76746,11.72109,13.3517,16.63667,91.14285,90.52856,4.681066,15.67938,4.956494,2.3,False
7,1,9,25:12:26:02:12:40,6/26/2025 2:18:05 PM,500,450,True,False,False,False,False,8,203,93,36,36,1,0,0.3870968,5,6,19.22248,1754.495,229.2007,1983.696,29.9990651665721,12552,0.00238998288452614,418.413038216493,10,0,0,4500,450,0,729.3002,728.6001,659.2148,22.74159,9.852156,10.17193,12.82042,145.86,145.72,4.548319,15.49909,5.037714,1.8,False
7,1,10,25:12:26:02:12:40,6/26/2025 2:18:41 PM,500,1350,True,False,False,False,False,9,-731,63,12,12,0,0,0.1904762,1,9,22.31696,1742.898,190.4005,1933.298,30.270427433541,9960,0.00303919954152019,329.034005940856,10,0,0,13500,1350,0,201.7,201.4,157.0142,4.257443,2.762686,2.77703,3.098308,201.7,201.4,4.257443,11.91335,4.493914,1,False
7,1,11,25:12:26:02:12:40,6/26/2025 2:19:17 PM,500,1350,True,False,False,False,False,10,-506,60,14,14,0,0,0.2333333,2,8,20.59708,1810.897,142.0998,1952.997,29.9996556327678,10819,0.00277286769874922,360.637473057614,8,0,0,10800,1350,0,99.59999,98.99998,44.26742,9.469096,4.288513,4.64805,5.266368,49.8,49.49999,4.734548,11.2874,4.907475,1,False
7,1,12,25:12:26:02:12:40,6/26/2025 2:19:49 PM,500,1,True,False,False,False,False,11,1014,81,45,45,2,0,0.5555556,9,3,12.03044,2070.893,234.901,2305.794,29.9989680403378,14789,0.00202846494288578,492.983624640492,11,0,0,11,1,0,1344.8,1319.3,740.2021,41.71038,15.14903,16.48381,19.5536,149.4222,146.5889,4.634487,11.43376,4.127843,1,False
