sessionID,latinRow,currentRoundNumber,sessionStartTime,now,roundFPS,spikeMagnitude,onAimSpikeEnabled,onEnemySpawnSpikeEnabled,onMouseSpikeEnabled,onReloadSpikeEnabled,attributeScalingEnabled,indexArray,score,shotsFiredPerRound,shotsHitPerRound,headshotsHitPerRound,realoadCountPerRound,tacticalReloadCountPerRound,accuracy,roundKills,roundDeaths,distanceTravelledPerRound,delXCumilative,delYCumilative,totalDelXY,frametimeCumulativeRound,roundFrameCount,avgFT,avgFPS,perRoundAimSpikeCount,perRoundReloadSpikeCount,perRoundMouseMovementSpikeCount,spikeDurationCumulative,avgspikeDurationCumulative,perRoundEnemySpawnSpikeCount,degreeToShootXCumulative,degreeToTargetXCumulative,minAnlgeToEnemyCumulative,enemySizeCumulative,timeToTargetEnemyCumulative,timeToHitEnemyCumulative,timeToKillEnemyCumulative,degXShootAvg,degXTargetAvg,enemySizeOnSpawnAvg,aimDurationPerRound,isFiringDurationPerRound,qoeValue,acceptabilityValue
1,1,1,25:43:25:01:43:40,8/25/2025 1:44:13 AM,500,1,True,False,False,False,False,0,217,5,2,2,0,0,0.4,2,0,0.005188346,1808.399,162.3,1970.699,30.0037349055056,6572,0.00456538875616335,219.03939695168,19,0,0,19,1,0,519.501,89.39999,17.27492,11.40545,2.66335,13.20338,13.20338,259.7505,44.7,5.702724,0,0,1.5,False
1,1,2,25:43:25:01:43:40,8/25/2025 1:44:49 AM,500,675,True,False,False,False,False,1,211,12,2,2,0,0,0.1666667,2,0,0.005000234,1380.596,211.2998,1591.896,30.0028524247464,4417,0.00679258601420566,147.219335597467,14,0,0,9450,675,0,223,159.8999,7.434826,11.55034,5.886622,10.12708,11.67343,111.5,79.94995,5.775171,0,0,1,False
1,1,3,25:43:25:01:43:40,8/25/2025 1:45:21 AM,500,1,True,False,False,False,True,2,977,22,9,9,0,0,0.4090909,9,0,0,783.4998,207.7006,991.2004,30.0025853150291,7934,0.00378152071023811,264.443877642292,18,0,0,18,1,0,783.5002,615.5999,117.9761,52.04359,18.95179,29.32838,29.32838,87.05558,68.39999,5.782621,0,0,1.2,False
