SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:48:25:01:48:10,01:48:19.964,500,1,True,False,False,False,False,0,-400.00,4.00,5.52,376.10,34.30,431.50,55.90,3.670,7.227,7.227,True,True,7.227,1.064
1,1,1,25:48:25:01:48:10,01:48:33.445,500,1,True,False,False,False,False,0,-400.00,10.24,5.46,48.40,18.10,1224.80,609.50,1.257,13.483,13.483,True,True,12.696,0.333
1,1,1,25:48:25:01:48:10,01:48:38.966,500,1,True,False,False,False,False,0,-400.00,23.61,5.63,156.20,49.40,156.30,49.60,5.169,5.521,5.521,True,True,5.119,0.194
1,1,1,25:48:25:01:48:10,01:48:42.756,500,1,True,False,False,False,False,0,100.00,6.64,5.74,23.70,3.60,108.70,35.70,0.834,3.797,3.797,True,False,3.747,0.053
1,1,2,25:48:25:01:48:10,01:48:47.371,500,675,True,False,False,False,False,1,-400.00,19.05,5.84,2.90,0.60,40.30,9.00,0.682,2.266,2.266,True,True,2.263,0.158
1,1,2,25:48:25:01:48:10,01:48:51.941,500,675,True,False,False,False,False,1,-400.00,11.79,5.83,11.30,1.80,53.20,15.90,1.622,4.571,4.571,True,True,4.293,0.556
1,1,2,25:48:25:01:48:10,01:48:53.596,500,675,True,False,False,False,False,1,-400.00,5.74,5.56,33.80,9.10,35.00,9.40,1.486,1.654,1.654,True,True,1.239,0.176
1,1,2,25:48:25:01:48:10,01:48:58.035,500,675,True,False,False,False,False,1,-400.00,5.61,5.87,55.90,56.30,56.30,56.70,4.333,4.439,4.439,True,True,2.904,0.112
