SessionID,LatinRow,RoundNumber,SessionStart,KillTimestamp,RoundFPS,SpikeMagnitude,OnAimSpike,OnEnemySpawnSpike,OnMouseSpike,OnReloadSpike,AttributeScalingEnabled,AttributeScaleRadius,RoundIndex,EnemyHealth,MinAngleToPlayer,AngularSizeOnSpawn,DegreeToTargetX,DegreeToTargetY,DegreeToShootX,DegreeToShootY,TimeToTargetEnemy,TimeToHitEnemy,TimeToKillEnemy,TargetMarked,TargetShot,DurationAlive,TimeOnTargetEachEnemy
1,1,1,25:10:29:09:10:47,21:10:52.059,500,225,True,False,False,False,True,1.5,0,-400.00,23.43,5.87,1.00,1.60,45.90,7.70,1.258,3.858,3.858,True,True,3.858,0.584
1,1,1,25:10:29:09:10:47,21:10:54.152,500,225,True,False,False,False,True,1.5,0,-400.00,7.13,5.82,44.70,14.20,44.70,14.20,2.057,2.095,2.095,True,True,1.395,0.041
1,1,1,25:10:29:09:10:47,21:10:58.910,500,225,True,False,False,False,True,1.5,0,-400.00,11.49,5.77,5.60,4.90,24.50,11.80,2.315,4.759,4.759,True,True,3.559,0.814
1,1,1,25:10:29:09:10:47,21:11:02.647,500,225,True,False,False,False,True,1.5,0,-400.00,6.91,5.76,45.30,23.50,51.30,24.50,3.148,3.737,3.737,True,True,2.975,0.343
1,1,1,25:10:29:09:10:47,21:11:05.615,500,225,True,False,False,False,True,1.5,0,-400.00,15.49,5.71,29.00,46.60,29.10,46.60,2.869,2.968,2.968,True,True,2.339,0.103
1,1,1,25:10:29:09:10:47,21:11:09.640,500,225,True,False,False,False,True,1.5,0,-400.00,8.58,5.78,23.30,10.60,59.10,21.80,1.250,4.024,4.024,True,True,3.775,0.431
